scenario_id	name	minimal_pair_group	scenario_version	claim	object	truth	belief	evidence_source	reliable	defeater	gettier	guessing	paraphrase_id	example_id	scenario_text	split_group	split
s00003	Ari	mp86519eb1dcafef44	epistemic-v3	the meeting is in room twelve	the meeting room	False	False	perception	True	True	False	False	1	s00003-p1	For Ari, the proposition under consideration was that the meeting is in room twelve. Events did not match the claim. Ari made a direct observation concerning the meeting room, which appeared to support the proposition; observations of this kind were usually accurate. Ari rejected the claim. Separate coincidence was absent from the outcome. Credible contrary information was available but left unresolved.	family|mp86519eb1dcafef44	coding
s00003	Ari	mp86519eb1dcafef44	epistemic-v3	the meeting is in room twelve	the meeting room	False	False	perception	True	True	False	False	2	s00003-p2	The issue was whether the meeting is in room twelve. Ari made a direct observation concerning the meeting room, which appeared to support the proposition, and observations of this kind were usually accurate. Ari's resulting position was described as follows: Ari rejected the claim. Events did not match the claim. Credible contrary information was available but left unresolved. Separate coincidence was absent from the outcome.	family|mp86519eb1dcafef44	coding
s00004	Frankie	mp43fe768c20a25f1f	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	True	True	memory	True	False	False	False	0	s00004-p0	Frankie considered whether the red key opens the cabinet. Frankie recalled an earlier check of which key opens the cabinet, which appeared to support the proposition. the memory was normally dependable. Frankie accepted the claim. Events matched the claim. Contrary information was absent. Separate coincidence was absent from the outcome.	family|mp43fe768c20a25f1f	coding
s00004	Frankie	mp43fe768c20a25f1f	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	True	True	memory	True	False	False	False	1	s00004-p1	For Frankie, the proposition under consideration was that the red key opens the cabinet. Events matched the claim. Frankie recalled an earlier check of which key opens the cabinet, which appeared to support the proposition; the memory was normally dependable. Frankie accepted the claim. Separate coincidence was absent from the outcome. Contrary information was absent.	family|mp43fe768c20a25f1f	coding
s00004	Frankie	mp43fe768c20a25f1f	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	True	True	memory	True	False	False	False	2	s00004-p2	The issue was whether the red key opens the cabinet. Frankie recalled an earlier check of which key opens the cabinet, which appeared to support the proposition, and the memory was normally dependable. Frankie's resulting position was described as follows: Frankie accepted the claim. Events matched the claim. Contrary information was absent. Separate coincidence was absent from the outcome.	family|mp43fe768c20a25f1f	coding
s00005	Frankie	mp43fe768c20a25f1f	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	True	True	memory	True	True	False	False	0	s00005-p0	Frankie considered whether the red key opens the cabinet. Frankie recalled an earlier check of which key opens the cabinet, which appeared to support the proposition. the memory was normally dependable. Frankie accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. Separate coincidence was absent from the outcome.	family|mp43fe768c20a25f1f	coding
s00005	Frankie	mp43fe768c20a25f1f	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	True	True	memory	True	True	False	False	1	s00005-p1	For Frankie, the proposition under consideration was that the red key opens the cabinet. Events matched the claim. Frankie recalled an earlier check of which key opens the cabinet, which appeared to support the proposition; the memory was normally dependable. Frankie accepted the claim. Separate coincidence was absent from the outcome. Credible contrary information was available but left unresolved.	family|mp43fe768c20a25f1f	coding
s00005	Frankie	mp43fe768c20a25f1f	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	True	True	memory	True	True	False	False	2	s00005-p2	The issue was whether the red key opens the cabinet. Frankie recalled an earlier check of which key opens the cabinet, which appeared to support the proposition, and the memory was normally dependable. Frankie's resulting position was described as follows: Frankie accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. Separate coincidence was absent from the outcome.	family|mp43fe768c20a25f1f	coding
s00006	Casey	mp1cd5ea1ab6ffc2f1	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	True	False	False	True	0	s00006-p0	Casey considered whether the train leaves from platform four. Casey checked a calibrated display for the departure platform, which appeared to support the proposition. the display usually works correctly. Casey accepted the claim. Events matched the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp1cd5ea1ab6ffc2f1	evaluation
s00006	Casey	mp1cd5ea1ab6ffc2f1	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	True	False	False	True	1	s00006-p1	For Casey, the proposition under consideration was that the train leaves from platform four. Events matched the claim. Casey checked a calibrated display for the departure platform, which appeared to support the proposition; the display usually works correctly. Casey accepted the claim. The position was selected arbitrarily without using the source. Contrary information was absent.	family|mp1cd5ea1ab6ffc2f1	evaluation
s00006	Casey	mp1cd5ea1ab6ffc2f1	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	True	False	False	True	2	s00006-p2	The issue was whether the train leaves from platform four. Casey checked a calibrated display for the departure platform, which appeared to support the proposition, and the display usually works correctly. Casey's resulting position was described as follows: Casey accepted the claim. Events matched the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp1cd5ea1ab6ffc2f1	evaluation
s00007	Casey	mp1cd5ea1ab6ffc2f1	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	True	True	False	True	0	s00007-p0	Casey considered whether the train leaves from platform four. Casey checked a calibrated display for the departure platform, which appeared to support the proposition. the display usually works correctly. Casey accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp1cd5ea1ab6ffc2f1	evaluation
s00007	Casey	mp1cd5ea1ab6ffc2f1	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	True	True	False	True	1	s00007-p1	For Casey, the proposition under consideration was that the train leaves from platform four. Events matched the claim. Casey checked a calibrated display for the departure platform, which appeared to support the proposition; the display usually works correctly. Casey accepted the claim. The position was selected arbitrarily without using the source. Credible contrary information was available but left unresolved.	family|mp1cd5ea1ab6ffc2f1	evaluation
s00007	Casey	mp1cd5ea1ab6ffc2f1	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	True	True	False	True	2	s00007-p2	The issue was whether the train leaves from platform four. Casey checked a calibrated display for the departure platform, which appeared to support the proposition, and the display usually works correctly. Casey's resulting position was described as follows: Casey accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp1cd5ea1ab6ffc2f1	evaluation
s00008	Harper	mp04193e93b9b66365	epistemic-v3	the package is in the mailroom	the package location	False	True	testimony	False	False	False	True	0	s00008-p0	Harper considered whether the package is in the mailroom. Harper was told by a staff member about the package location, which appeared to support the proposition. the source had a strong record of error. Harper accepted the claim. Events did not match the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp04193e93b9b66365	evaluation
s00008	Harper	mp04193e93b9b66365	epistemic-v3	the package is in the mailroom	the package location	False	True	testimony	False	False	False	True	1	s00008-p1	For Harper, the proposition under consideration was that the package is in the mailroom. Events did not match the claim. Harper was told by a staff member about the package location, which appeared to support the proposition; the source had a strong record of error. Harper accepted the claim. The position was selected arbitrarily without using the source. Contrary information was absent.	family|mp04193e93b9b66365	evaluation
s00008	Harper	mp04193e93b9b66365	epistemic-v3	the package is in the mailroom	the package location	False	True	testimony	False	False	False	True	2	s00008-p2	The issue was whether the package is in the mailroom. Harper was told by a staff member about the package location, which appeared to support the proposition, and the source had a strong record of error. Harper's resulting position was described as follows: Harper accepted the claim. Events did not match the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp04193e93b9b66365	evaluation
s00009	Harper	mp04193e93b9b66365	epistemic-v3	the package is in the mailroom	the package location	False	True	testimony	False	True	False	True	0	s00009-p0	Harper considered whether the package is in the mailroom. Harper was told by a staff member about the package location, which appeared to support the proposition. the source had a strong record of error. Harper accepted the claim. Events did not match the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp04193e93b9b66365	evaluation
s00009	Harper	mp04193e93b9b66365	epistemic-v3	the package is in the mailroom	the package location	False	True	testimony	False	True	False	True	1	s00009-p1	For Harper, the proposition under consideration was that the package is in the mailroom. Events did not match the claim. Harper was told by a staff member about the package location, which appeared to support the proposition; the source had a strong record of error. Harper accepted the claim. The position was selected arbitrarily without using the source. Credible contrary information was available but left unresolved.	family|mp04193e93b9b66365	evaluation
s00009	Harper	mp04193e93b9b66365	epistemic-v3	the package is in the mailroom	the package location	False	True	testimony	False	True	False	True	2	s00009-p2	The issue was whether the package is in the mailroom. Harper was told by a staff member about the package location, which appeared to support the proposition, and the source had a strong record of error. Harper's resulting position was described as follows: Harper accepted the claim. Events did not match the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp04193e93b9b66365	evaluation
s00010	Blair	mpcaee5c59a43ab1b3	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	memory	False	False	False	True	0	s00010-p0	Blair considered whether the orchard gate is unlocked. Blair recalled an earlier check of the state of the orchard gate, which appeared to support the proposition. the source had a strong record of error. Blair accepted the claim. Events matched the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mpcaee5c59a43ab1b3	coding
s00010	Blair	mpcaee5c59a43ab1b3	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	memory	False	False	False	True	1	s00010-p1	For Blair, the proposition under consideration was that the orchard gate is unlocked. Events matched the claim. Blair recalled an earlier check of the state of the orchard gate, which appeared to support the proposition; the source had a strong record of error. Blair accepted the claim. The position was selected arbitrarily without using the source. Contrary information was absent.	family|mpcaee5c59a43ab1b3	coding
s00010	Blair	mpcaee5c59a43ab1b3	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	memory	False	False	False	True	2	s00010-p2	The issue was whether the orchard gate is unlocked. Blair recalled an earlier check of the state of the orchard gate, which appeared to support the proposition, and the source had a strong record of error. Blair's resulting position was described as follows: Blair accepted the claim. Events matched the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mpcaee5c59a43ab1b3	coding
s00011	Blair	mpcaee5c59a43ab1b3	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	memory	False	True	False	True	0	s00011-p0	Blair considered whether the orchard gate is unlocked. Blair recalled an earlier check of the state of the orchard gate, which appeared to support the proposition. the source had a strong record of error. Blair accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mpcaee5c59a43ab1b3	coding
s00011	Blair	mpcaee5c59a43ab1b3	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	memory	False	True	False	True	1	s00011-p1	For Blair, the proposition under consideration was that the orchard gate is unlocked. Events matched the claim. Blair recalled an earlier check of the state of the orchard gate, which appeared to support the proposition; the source had a strong record of error. Blair accepted the claim. The position was selected arbitrarily without using the source. Credible contrary information was available but left unresolved.	family|mpcaee5c59a43ab1b3	coding
s00011	Blair	mpcaee5c59a43ab1b3	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	memory	False	True	False	True	2	s00011-p2	The issue was whether the orchard gate is unlocked. Blair recalled an earlier check of the state of the orchard gate, which appeared to support the proposition, and the source had a strong record of error. Blair's resulting position was described as follows: Blair accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mpcaee5c59a43ab1b3	coding
s00012	Harper	mp6a0c26ccfaf17b12	epistemic-v3	the museum closes at six	the posted closing time	False	True	instrument	True	False	False	True	0	s00012-p0	Harper considered whether the museum closes at six. Harper checked a calibrated display for the posted closing time, which appeared to support the proposition. the display usually works correctly. Harper accepted the claim. Events did not match the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp6a0c26ccfaf17b12	coding
s00012	Harper	mp6a0c26ccfaf17b12	epistemic-v3	the museum closes at six	the posted closing time	False	True	instrument	True	False	False	True	1	s00012-p1	For Harper, the proposition under consideration was that the museum closes at six. Events did not match the claim. Harper checked a calibrated display for the posted closing time, which appeared to support the proposition; the display usually works correctly. Harper accepted the claim. The position was selected arbitrarily without using the source. Contrary information was absent.	family|mp6a0c26ccfaf17b12	coding
s00012	Harper	mp6a0c26ccfaf17b12	epistemic-v3	the museum closes at six	the posted closing time	False	True	instrument	True	False	False	True	2	s00012-p2	The issue was whether the museum closes at six. Harper checked a calibrated display for the posted closing time, which appeared to support the proposition, and the display usually works correctly. Harper's resulting position was described as follows: Harper accepted the claim. Events did not match the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp6a0c26ccfaf17b12	coding
s00013	Harper	mp6a0c26ccfaf17b12	epistemic-v3	the museum closes at six	the posted closing time	False	True	instrument	True	True	False	True	0	s00013-p0	Harper considered whether the museum closes at six. Harper checked a calibrated display for the posted closing time, which appeared to support the proposition. the display usually works correctly. Harper accepted the claim. Events did not match the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp6a0c26ccfaf17b12	coding
s00013	Harper	mp6a0c26ccfaf17b12	epistemic-v3	the museum closes at six	the posted closing time	False	True	instrument	True	True	False	True	1	s00013-p1	For Harper, the proposition under consideration was that the museum closes at six. Events did not match the claim. Harper checked a calibrated display for the posted closing time, which appeared to support the proposition; the display usually works correctly. Harper accepted the claim. The position was selected arbitrarily without using the source. Credible contrary information was available but left unresolved.	family|mp6a0c26ccfaf17b12	coding
s00013	Harper	mp6a0c26ccfaf17b12	epistemic-v3	the museum closes at six	the posted closing time	False	True	instrument	True	True	False	True	2	s00013-p2	The issue was whether the museum closes at six. Harper checked a calibrated display for the posted closing time, which appeared to support the proposition, and the display usually works correctly. Harper's resulting position was described as follows: Harper accepted the claim. Events did not match the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp6a0c26ccfaf17b12	coding
s00014	Blair	mp97d8afca652aed4b	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	False	False	True	False	0	s00014-p0	Blair considered whether the train leaves from platform four. Blair checked a calibrated display for the departure platform, which appeared to support the proposition. the source had a strong record of error. Blair accepted the claim. Events matched the claim. Contrary information was absent. The apparent support failed independently, while a separate coincidence made events match.	family|mp97d8afca652aed4b	coding
s00014	Blair	mp97d8afca652aed4b	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	False	False	True	False	1	s00014-p1	For Blair, the proposition under consideration was that the train leaves from platform four. Events matched the claim. Blair checked a calibrated display for the departure platform, which appeared to support the proposition; the source had a strong record of error. Blair accepted the claim. The apparent support failed independently, while a separate coincidence made events match. Contrary information was absent.	family|mp97d8afca652aed4b	coding
s00014	Blair	mp97d8afca652aed4b	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	False	False	True	False	2	s00014-p2	The issue was whether the train leaves from platform four. Blair checked a calibrated display for the departure platform, which appeared to support the proposition, and the source had a strong record of error. Blair's resulting position was described as follows: Blair accepted the claim. Events matched the claim. Contrary information was absent. The apparent support failed independently, while a separate coincidence made events match.	family|mp97d8afca652aed4b	coding
s00015	Blair	mp97d8afca652aed4b	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	False	True	True	False	0	s00015-p0	Blair considered whether the train leaves from platform four. Blair checked a calibrated display for the departure platform, which appeared to support the proposition. the source had a strong record of error. Blair accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The apparent support failed independently, while a separate coincidence made events match.	family|mp97d8afca652aed4b	coding
s00015	Blair	mp97d8afca652aed4b	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	False	True	True	False	1	s00015-p1	For Blair, the proposition under consideration was that the train leaves from platform four. Events matched the claim. Blair checked a calibrated display for the departure platform, which appeared to support the proposition; the source had a strong record of error. Blair accepted the claim. The apparent support failed independently, while a separate coincidence made events match. Credible contrary information was available but left unresolved.	family|mp97d8afca652aed4b	coding
s00015	Blair	mp97d8afca652aed4b	epistemic-v3	the train leaves from platform four	the departure platform	True	True	instrument	False	True	True	False	2	s00015-p2	The issue was whether the train leaves from platform four. Blair checked a calibrated display for the departure platform, which appeared to support the proposition, and the source had a strong record of error. Blair's resulting position was described as follows: Blair accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The apparent support failed independently, while a separate coincidence made events match.	family|mp97d8afca652aed4b	coding
s00016	Devon	mpbdd09a5779f26da4	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	testimony	True	False	True	False	0	s00016-p0	Devon considered whether the orchard gate is unlocked. Devon was told by a staff member about the state of the orchard gate, which appeared to support the proposition. the staff member is usually reliable. Devon accepted the claim. Events matched the claim. Contrary information was absent. The apparent support failed independently, while a separate coincidence made events match.	family|mpbdd09a5779f26da4	coding
s00016	Devon	mpbdd09a5779f26da4	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	testimony	True	False	True	False	1	s00016-p1	For Devon, the proposition under consideration was that the orchard gate is unlocked. Events matched the claim. Devon was told by a staff member about the state of the orchard gate, which appeared to support the proposition; the staff member is usually reliable. Devon accepted the claim. The apparent support failed independently, while a separate coincidence made events match. Contrary information was absent.	family|mpbdd09a5779f26da4	coding
s00016	Devon	mpbdd09a5779f26da4	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	testimony	True	False	True	False	2	s00016-p2	The issue was whether the orchard gate is unlocked. Devon was told by a staff member about the state of the orchard gate, which appeared to support the proposition, and the staff member is usually reliable. Devon's resulting position was described as follows: Devon accepted the claim. Events matched the claim. Contrary information was absent. The apparent support failed independently, while a separate coincidence made events match.	family|mpbdd09a5779f26da4	coding
s00017	Devon	mpbdd09a5779f26da4	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	testimony	True	True	True	False	0	s00017-p0	Devon considered whether the orchard gate is unlocked. Devon was told by a staff member about the state of the orchard gate, which appeared to support the proposition. the staff member is usually reliable. Devon accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The apparent support failed independently, while a separate coincidence made events match.	family|mpbdd09a5779f26da4	coding
s00017	Devon	mpbdd09a5779f26da4	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	testimony	True	True	True	False	1	s00017-p1	For Devon, the proposition under consideration was that the orchard gate is unlocked. Events matched the claim. Devon was told by a staff member about the state of the orchard gate, which appeared to support the proposition; the staff member is usually reliable. Devon accepted the claim. The apparent support failed independently, while a separate coincidence made events match. Credible contrary information was available but left unresolved.	family|mpbdd09a5779f26da4	coding
s00017	Devon	mpbdd09a5779f26da4	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	testimony	True	True	True	False	2	s00017-p2	The issue was whether the orchard gate is unlocked. Devon was told by a staff member about the state of the orchard gate, which appeared to support the proposition, and the staff member is usually reliable. Devon's resulting position was described as follows: Devon accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The apparent support failed independently, while a separate coincidence made events match.	family|mpbdd09a5779f26da4	coding
s00018	Casey	mp674173fc8316d7b5	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	perception	True	False	False	True	0	s00018-p0	Casey considered whether the orchard gate is unlocked. Casey made a direct observation concerning the state of the orchard gate, which appeared to support the proposition. observations of this kind were usually accurate. Casey accepted the claim. Events matched the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp674173fc8316d7b5	evaluation
s00018	Casey	mp674173fc8316d7b5	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	perception	True	False	False	True	1	s00018-p1	For Casey, the proposition under consideration was that the orchard gate is unlocked. Events matched the claim. Casey made a direct observation concerning the state of the orchard gate, which appeared to support the proposition; observations of this kind were usually accurate. Casey accepted the claim. The position was selected arbitrarily without using the source. Contrary information was absent.	family|mp674173fc8316d7b5	evaluation
s00018	Casey	mp674173fc8316d7b5	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	perception	True	False	False	True	2	s00018-p2	The issue was whether the orchard gate is unlocked. Casey made a direct observation concerning the state of the orchard gate, which appeared to support the proposition, and observations of this kind were usually accurate. Casey's resulting position was described as follows: Casey accepted the claim. Events matched the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp674173fc8316d7b5	evaluation
s00019	Casey	mp674173fc8316d7b5	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	perception	True	True	False	True	0	s00019-p0	Casey considered whether the orchard gate is unlocked. Casey made a direct observation concerning the state of the orchard gate, which appeared to support the proposition. observations of this kind were usually accurate. Casey accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp674173fc8316d7b5	evaluation
s00019	Casey	mp674173fc8316d7b5	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	perception	True	True	False	True	1	s00019-p1	For Casey, the proposition under consideration was that the orchard gate is unlocked. Events matched the claim. Casey made a direct observation concerning the state of the orchard gate, which appeared to support the proposition; observations of this kind were usually accurate. Casey accepted the claim. The position was selected arbitrarily without using the source. Credible contrary information was available but left unresolved.	family|mp674173fc8316d7b5	evaluation
s00019	Casey	mp674173fc8316d7b5	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	True	True	perception	True	True	False	True	2	s00019-p2	The issue was whether the orchard gate is unlocked. Casey made a direct observation concerning the state of the orchard gate, which appeared to support the proposition, and observations of this kind were usually accurate. Casey's resulting position was described as follows: Casey accepted the claim. Events matched the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp674173fc8316d7b5	evaluation
s00020	Ari	mp842394a53198f68b	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	False	True	perception	False	False	False	False	0	s00020-p0	Ari considered whether the red key opens the cabinet. Ari made a direct observation concerning which key opens the cabinet, which appeared to support the proposition. the source had a strong record of error. Ari accepted the claim. Events did not match the claim. Contrary information was absent. Separate coincidence was absent from the outcome.	family|mp842394a53198f68b	coding
s00020	Ari	mp842394a53198f68b	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	False	True	perception	False	False	False	False	1	s00020-p1	For Ari, the proposition under consideration was that the red key opens the cabinet. Events did not match the claim. Ari made a direct observation concerning which key opens the cabinet, which appeared to support the proposition; the source had a strong record of error. Ari accepted the claim. Separate coincidence was absent from the outcome. Contrary information was absent.	family|mp842394a53198f68b	coding
s00020	Ari	mp842394a53198f68b	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	False	True	perception	False	False	False	False	2	s00020-p2	The issue was whether the red key opens the cabinet. Ari made a direct observation concerning which key opens the cabinet, which appeared to support the proposition, and the source had a strong record of error. Ari's resulting position was described as follows: Ari accepted the claim. Events did not match the claim. Contrary information was absent. Separate coincidence was absent from the outcome.	family|mp842394a53198f68b	coding
s00021	Ari	mp842394a53198f68b	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	False	True	perception	False	True	False	False	0	s00021-p0	Ari considered whether the red key opens the cabinet. Ari made a direct observation concerning which key opens the cabinet, which appeared to support the proposition. the source had a strong record of error. Ari accepted the claim. Events did not match the claim. Credible contrary information was available but left unresolved. Separate coincidence was absent from the outcome.	family|mp842394a53198f68b	coding
s00021	Ari	mp842394a53198f68b	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	False	True	perception	False	True	False	False	1	s00021-p1	For Ari, the proposition under consideration was that the red key opens the cabinet. Events did not match the claim. Ari made a direct observation concerning which key opens the cabinet, which appeared to support the proposition; the source had a strong record of error. Ari accepted the claim. Separate coincidence was absent from the outcome. Credible contrary information was available but left unresolved.	family|mp842394a53198f68b	coding
s00021	Ari	mp842394a53198f68b	epistemic-v3	the red key opens the cabinet	which key opens the cabinet	False	True	perception	False	True	False	False	2	s00021-p2	The issue was whether the red key opens the cabinet. Ari made a direct observation concerning which key opens the cabinet, which appeared to support the proposition, and the source had a strong record of error. Ari's resulting position was described as follows: Ari accepted the claim. Events did not match the claim. Credible contrary information was available but left unresolved. Separate coincidence was absent from the outcome.	family|mp842394a53198f68b	coding
