example_id	scenario_id	paraphrase_id	split	predicate	label	stable	confidence	forward_label	reversed_label	forward_margin	reversed_margin
s00001-p2	s00001	2	evaluation	believes	True	True	0.8952586261457118	True	True	2.479677200317383	2.145618438720703
s00001-p2	s00001	2	evaluation	true	False	True	0.9999999990805656	False	False	20.866168975830078	20.807262420654297
s00001-p2	s00001	2	evaluation	justified	False	True	0.9999999998613386	False	False	22.698986053466797	22.731510162353516
s00001-p2	s00001	2	evaluation	lucky_guessed	True	True	0.9999264230442296	True	True	9.573129653930664	9.517105102539062
s00002-p0	s00002	0	coding	knows	False	True	0.9999999982032308	False	False	25.176265716552734	20.13727569580078
s00002-p0	s00002	0	coding	believes	False	True	0.9999999998558892	False	False	25.863529205322266	22.660438537597656
s00002-p0	s00002	0	coding	true	False	True	0.9999999680491665	False	False	22.14034652709961	17.25906753540039
s00002-p0	s00002	0	coding	justified	False	True	0.9999929418228871	False	False	18.634769439697266	11.861316680908203
s00002-p0	s00002	0	coding	lucky_guessed	False	True	0.9999999999849072	False	False	26.92410659790039	24.916805267333984
s00002-p1	s00002	1	coding	knows	False	True	0.9999884221534383	False	False	16.130359649658203	11.366405487060547
s00002-p1	s00002	1	coding	believes	False	True	0.9999999973712459	False	False	22.89350128173828	19.756755828857422
s00002-p1	s00002	1	coding	true	False	True	0.9999999999162226	False	False	26.443836212158203	23.202857971191406
s00002-p1	s00002	1	coding	justified		False	0.65293589521527	False	True	0.6319694519042969	1.3638877868652344
s00002-p1	s00002	1	coding	lucky_guessed	False	True	0.999999999918506	False	False	27.38292694091797	23.230491638183594
s00002-p2	s00002	2	coding	knows	False	True	0.9999999999539687	False	False	26.267086029052734	23.801700592041016
s00002-p2	s00002	2	coding	believes	False	True	0.9999999999944037	False	False	27.774791717529297	25.908924102783203
s00002-p2	s00002	2	coding	true	False	True	0.9999999917822242	False	False	21.725536346435547	18.616966247558594
s00002-p2	s00002	2	coding	justified	False	True	0.9999999980707885	False	False	22.733375549316406	20.06615447998047
s00002-p2	s00002	2	coding	lucky_guessed	False	True	0.9999999994465395	False	False	21.452239990234375	21.314830780029297
s00003-p0	s00003	0	coding	knows	False	True	0.9999999999720595	False	False	27.10626220703125	24.300941467285156
s00003-p0	s00003	0	coding	believes	False	True	0.9999999999771748	False	False	26.42266082763672	24.503158569335938
s00003-p0	s00003	0	coding	true	False	True	0.9999999996087277	False	False	23.596256256103516	21.661617279052734
s00003-p0	s00003	0	coding	justified	False	True	0.9999999994868933	False	False	24.84268569946289	21.39053726196289
s00003-p0	s00003	0	coding	lucky_guessed	False	True	0.9999999999472784	False	False	25.236202239990234	23.665996551513672
s00003-p1	s00003	1	coding	knows	False	True	0.9999999979624399	False	False	23.245609283447266	20.011512756347656
s00003-p1	s00003	1	coding	believes	False	True	0.9999999998797476	False	False	25.485549926757812	22.841428756713867
s00003-p1	s00003	1	coding	true	False	True	0.9999999999646954	False	False	26.058090209960938	24.067007064819336
s00003-p1	s00003	1	coding	justified	False	True	0.9999921268518063	False	False	13.09670639038086	11.752044677734375
s00003-p1	s00003	1	coding	lucky_guessed	False	True	0.9999999999349762	False	False	26.543140411376953	23.456268310546875
s00003-p2	s00003	2	coding	knows	False	True	0.9999999999943052	False	False	27.22562026977539	25.891468048095703
s00003-p2	s00003	2	coding	believes	False	True	0.9999999999972554	False	False	27.34657859802246	26.621402740478516
s00003-p2	s00003	2	coding	true	False	True	0.9999999995373671	False	False	22.58010482788086	21.49408721923828
s00003-p2	s00003	2	coding	justified	False	True	0.9999999999525565	False	False	25.370067596435547	23.771482467651367
s00003-p2	s00003	2	coding	lucky_guessed	False	True	0.9999999999561172	False	False	23.849498748779297	24.009235382080078
s00004-p0	s00004	0	coding	knows	True	True	0.9999999999997626	True	True	29.06963348388672	32.93734359741211
s00004-p0	s00004	0	coding	believes	True	True	0.9999999999999953	True	True	33.01683807373047	35.31570053100586
s00004-p0	s00004	0	coding	true	True	True	0.9999999999997953	True	True	29.217144012451172	31.96933364868164
s00004-p0	s00004	0	coding	justified	True	True	0.9999999999999944	True	True	32.84321975708008	36.151668548583984
s00004-p0	s00004	0	coding	lucky_guessed	False	True	0.9999999999999843	False	False	32.482852935791016	31.790515899658203
s00004-p1	s00004	1	coding	knows	True	True	0.9999999999997631	True	True	29.07107162475586	33.164527893066406
s00004-p1	s00004	1	coding	believes	True	True	0.9999999999999938	True	True	32.72604751586914	34.97905349731445
s00004-p1	s00004	1	coding	true	True	True	0.999999999999968	True	True	31.072757720947266	33.78559112548828
s00004-p1	s00004	1	coding	justified	True	True	0.999999999999996	True	True	33.1575813293457	36.056060791015625
s00004-p1	s00004	1	coding	lucky_guessed	False	True	0.9999999999999185	False	False	31.194114685058594	30.137855529785156
s00004-p2	s00004	2	coding	knows	True	True	0.9999999999976243	True	True	26.76572036743164	30.551013946533203
s00004-p2	s00004	2	coding	believes	True	True	0.9999999999999951	True	True	32.935848236083984	34.609100341796875
s00004-p2	s00004	2	coding	true	True	True	0.9999999999993865	True	True	28.119670867919922	30.740863800048828
s00004-p2	s00004	2	coding	justified	True	True	0.9999999999999913	True	True	32.38521957397461	35.20037841796875
s00004-p2	s00004	2	coding	lucky_guessed	False	True	0.9999999999999107	False	False	31.335912704467773	30.047061920166016
s00005-p0	s00005	0	coding	knows	True	True	0.9999927233970597	True	True	11.830839157104492	15.44264030456543
s00005-p0	s00005	0	coding	believes	True	True	0.9999999999998659	True	True	29.640033721923828	33.89624786376953
s00005-p0	s00005	0	coding	true	True	True	0.9999999592732353	True	True	17.016380310058594	21.085403442382812
s00005-p0	s00005	0	coding	justified	True	True	0.9999999999881601	True	True	25.159557342529297	30.75351333618164
s00005-p0	s00005	0	coding	lucky_guessed	False	True	0.9999999999973747	False	False	28.888507843017578	26.665794372558594
s00005-p1	s00005	1	coding	knows	True	True	0.8029867841740186	True	True	1.4050674438476562	2.530120849609375
s00005-p1	s00005	1	coding	believes	True	True	0.9999999999994205	True	True	28.176532745361328	32.82168197631836
s00005-p1	s00005	1	coding	true	True	True	0.9999999948583105	True	True	19.08588409423828	22.697677612304688
s00005-p1	s00005	1	coding	justified	True	True	0.9999999994272561	True	True	21.280582427978516	26.57648468017578
s00005-p1	s00005	1	coding	lucky_guessed	False	True	0.999999999767932	False	False	25.02170181274414	22.183990478515625
s00005-p2	s00005	2	coding	knows	True	True	0.9998926805277142	True	True	9.139593124389648	10.794675827026367
s00005-p2	s00005	2	coding	believes	True	True	0.9999999999998936	True	True	29.872947692871094	33.24871826171875
s00005-p2	s00005	2	coding	true	True	True	0.9999996468096697	True	True	14.856258392333984	17.688762664794922
s00005-p2	s00005	2	coding	justified	True	True	0.9999999999925178	True	True	25.618480682373047	29.619495391845703
s00005-p2	s00005	2	coding	lucky_guessed	False	True	0.9999999999982381	False	False	29.16379737854004	27.06460952758789
s00006-p0	s00006	0	evaluation	knows	True	True	0.9999999820586686	True	True	17.836158752441406	22.75049591064453
s00006-p0	s00006	0	evaluation	believes	True	True	0.9999999999993261	True	True	28.02574920654297	31.37765884399414
s00006-p0	s00006	0	evaluation	true	True	True	0.9999999999670699	True	True	24.136634826660156	27.637569427490234
s00006-p0	s00006	0	evaluation	justified	True	True	0.9999999999659914	True	True	24.104408264160156	29.266368865966797
s00006-p0	s00006	0	evaluation	lucky_guessed	False	True	0.9999995107929003	False	False	16.39978790283203	14.530479431152344
s00006-p1	s00006	1	evaluation	knows	True	True	0.9999999997039484	True	True	21.940486907958984	27.327590942382812
s00006-p1	s00006	1	evaluation	believes	True	True	0.9999999999999427	True	True	30.491474151611328	33.75281524658203
s00006-p1	s00006	1	evaluation	true	True	True	0.9999999999996521	True	True	28.686790466308594	31.99437713623047
s00006-p1	s00006	1	evaluation	justified	True	True	0.99999999999994	True	True	30.445598602294922	34.20248794555664
s00006-p1	s00006	1	evaluation	lucky_guessed	False	True	0.9999999679171392	False	False	20.417354583740234	17.25494384765625
s00006-p2	s00006	2	evaluation	knows	True	True	0.9999968415387591	True	True	12.665422439575195	14.849916458129883
s00006-p2	s00006	2	evaluation	believes	True	True	0.9999999999982094	True	True	27.04842758178711	29.48383331298828
s00006-p2	s00006	2	evaluation	true	True	True	0.9999999995246966	True	True	21.46706771850586	23.91938018798828
s00006-p2	s00006	2	evaluation	justified	True	True	0.9999999996726205	True	True	21.839900970458984	24.14052963256836
s00006-p2	s00006	2	evaluation	lucky_guessed	False	True	0.9999983642416533	False	False	15.184837341308594	13.323402404785156
s00007-p0	s00007	0	evaluation	knows		False	0.784576409672853	False	False	2.5690765380859375	1.2925376892089844
s00007-p0	s00007	0	evaluation	believes	True	True	0.9999999999409279	True	True	23.552261352539062	29.346202850341797
s00007-p0	s00007	0	evaluation	true	True	True	0.9179619144823155	True	True	2.8124046325683594	2.4149723052978516
s00007-p0	s00007	0	evaluation	justified	True	True	0.9901343333259239	True	True	4.6087799072265625	4.704954147338867
s00007-p0	s00007	0	evaluation	lucky_guessed		False	0.6321746137782168	True	True	0.7604866027832031	0.5415573120117188
s00007-p1	s00007	1	evaluation	knows	False	True	0.9998540691185586	False	False	9.900459289550781	8.832231521606445
s00007-p1	s00007	1	evaluation	believes	True	True	0.9999999994483164	True	True	21.31804656982422	27.199901580810547
s00007-p1	s00007	1	evaluation	true	True	True	0.9999489434877574	True	True	9.882526397705078	10.241836547851562
s00007-p1	s00007	1	evaluation	justified	True	True	0.8542289206970712	True	True	2.6519813537597656	1.7681617736816406
s00007-p1	s00007	1	evaluation	lucky_guessed		False	0.5449139695000029	True	True	0.8155746459960938	0.18014144897460938
s00007-p2	s00007	2	evaluation	knows	False	True	0.9988930723384106	False	False	8.496667861938477	6.805059432983398
s00007-p2	s00007	2	evaluation	believes	True	True	0.9999999995831956	True	True	21.598403930664062	26.08734893798828
s00007-p2	s00007	2	evaluation	true	False	True	0.9978142198290745	False	False	6.255987167358398	6.123594284057617
s00007-p2	s00007	2	evaluation	justified	False	True	0.8491154526352078	False	False	1.7276802062988281	2.460418701171875
s00007-p2	s00007	2	evaluation	lucky_guessed		False	0.6974680739517503	True	True	1.449676513671875	0.8352699279785156
s00008-p0	s00008	0	evaluation	knows	False	True	0.9999999928094063	False	False	18.835838317871094	18.750492095947266
s00008-p0	s00008	0	evaluation	believes	True	True	0.9999534335037359	True	True	9.97458267211914	11.929450988769531
s00008-p0	s00008	0	evaluation	true	False	True	0.9999999995735733	False	False	21.575580596923828	23.059608459472656
s00008-p0	s00008	0	evaluation	justified	False	True	0.9999999999985745	False	False	28.73336410522461	27.276458740234375
s00008-p0	s00008	0	evaluation	lucky_guessed	True	True	0.9999916016236192	True	True	11.687463760375977	12.60604476928711
s00008-p1	s00008	1	evaluation	knows	False	True	0.9999999726517103	False	False	18.415863037109375	17.41461181640625
s00008-p1	s00008	1	evaluation	believes	True	True	0.9998984345900163	True	True	9.194705963134766	9.53624153137207
s00008-p1	s00008	1	evaluation	true	False	True	0.9999997554977266	False	False	15.224040985107422	15.451068878173828
s00008-p1	s00008	1	evaluation	justified	False	True	0.999999996517759	False	False	20.71407699584961	19.475589752197266
s00008-p1	s00008	1	evaluation	lucky_guessed	True	True	0.9999767946484763	True	True	10.671104431152344	10.948501586914062
s00008-p2	s00008	2	evaluation	knows	False	True	0.9999947918235961	False	False	12.165275573730469	12.838924407958984
s00008-p2	s00008	2	evaluation	believes	True	True	0.9993730638327063	True	True	7.651813507080078	7.3740386962890625
s00008-p2	s00008	2	evaluation	true	False	True	0.9999999957550121	False	False	20.430442810058594	19.27752685546875
s00008-p2	s00008	2	evaluation	justified	False	True	0.999999999996922	False	False	27.11608123779297	26.506755828857422
s00008-p2	s00008	2	evaluation	lucky_guessed	True	True	0.9999998386381009	True	True	15.639616012573242	17.08013153076172
s00009-p0	s00009	0	evaluation	knows	False	True	0.9999999987838973	False	False	20.52761459350586	20.67099380493164
s00009-p0	s00009	0	evaluation	believes	True	True	0.9815755614918366	True	True	4.345745086669922	3.9754810333251953
s00009-p0	s00009	0	evaluation	true	False	True	0.9999999998304329	False	False	22.497772216796875	23.84331512451172
s00009-p0	s00009	0	evaluation	justified	False	True	0.9999999999991354	False	False	28.938934326171875	27.77646255493164
s00009-p0	s00009	0	evaluation	lucky_guessed	True	True	0.9999972666723052	True	True	12.809988021850586	14.536916732788086
s00009-p1	s00009	1	evaluation	knows	False	True	0.9999999965120822	False	False	20.446941375732422	19.473960876464844
s00009-p1	s00009	1	evaluation	believes	True	True	0.9995621283097172	True	True	8.325096130371094	7.733146667480469
s00009-p1	s00009	1	evaluation	true	False	True	0.9999998670958135	False	False	15.833637237548828	16.51178741455078
s00009-p1	s00009	1	evaluation	justified	False	True	0.9999999997540434	False	False	23.79330825805664	22.125865936279297
s00009-p1	s00009	1	evaluation	lucky_guessed	True	True	0.9999273127647026	True	True	9.529272079467773	10.124229431152344
s00009-p2	s00009	2	evaluation	knows	False	True	0.9999999874209688	False	False	18.191410064697266	18.191234588623047
s00009-p2	s00009	2	evaluation	believes	False	True	0.8102496967568702	False	False	1.4516334533691406	2.7020835876464844
s00009-p2	s00009	2	evaluation	true	False	True	0.9999999992505351	False	False	22.000953674316406	21.011661529541016
s00009-p2	s00009	2	evaluation	justified	False	True	0.999999999999219	False	False	28.926250457763672	27.878150939941406
s00009-p2	s00009	2	evaluation	lucky_guessed	True	True	0.9999992408070679	True	True	14.091009140014648	16.189184188842773
s00010-p0	s00010	0	coding	knows	False	True	0.9998005798995643	False	False	12.074085235595703	8.5198974609375
s00010-p0	s00010	0	coding	believes	True	True	0.9999978206586315	True	True	13.03648567199707	14.218326568603516
s00010-p0	s00010	0	coding	true	False	True	0.975236134278981	False	False	3.6732940673828125	4.486898422241211
s00010-p0	s00010	0	coding	justified	False	True	0.9999087206416507	False	False	12.041034698486328	9.301494598388672
s00010-p0	s00010	0	coding	lucky_guessed	True	True	0.9975165564837043	True	True	6.357595443725586	5.995622634887695
s00010-p1	s00010	1	coding	knows	False	True	0.9999259692376752	False	False	12.354351043701172	9.510955810546875
s00010-p1	s00010	1	coding	believes	True	True	0.9999999266567907	True	True	16.428115844726562	20.373458862304688
s00010-p1	s00010	1	coding	true	True	True	0.8752046464372369	True	True	1.9769668579101562	1.9477825164794922
s00010-p1	s00010	1	coding	justified	False	True	0.9918646015846393	False	False	5.810892105102539	4.803361892700195
s00010-p1	s00010	1	coding	lucky_guessed	True	True	0.9996340637417498	True	True	8.920236587524414	7.912685394287109
s00010-p2	s00010	2	coding	knows	False	True	0.9995969972211894	False	False	9.933917999267578	7.816164016723633
s00010-p2	s00010	2	coding	believes	True	True	0.9999996581655377	True	True	14.888938903808594	16.343210220336914
s00010-p2	s00010	2	coding	true	False	True	0.9465270127298429	False	False	2.8736228942871094	3.2720394134521484
s00010-p2	s00010	2	coding	justified	False	True	0.9999004683465575	False	False	10.022991180419922	9.214935302734375
s00010-p2	s00010	2	coding	lucky_guessed	True	True	0.9896833047938308	True	True	5.842618942260742	4.563621520996094
s00011-p0	s00011	0	coding	knows	False	True	0.9999974463177043	False	False	16.09210968017578	12.877971649169922
s00011-p0	s00011	0	coding	believes	True	True	0.9998019215855576	True	True	9.582719802856445	8.526649475097656
s00011-p0	s00011	0	coding	true	False	True	0.9999514382017248	False	False	9.932624816894531	11.096446990966797
s00011-p0	s00011	0	coding	justified	False	True	0.9999989753912802	False	False	16.497615814208984	13.79119873046875
s00011-p0	s00011	0	coding	lucky_guessed	True	True	0.9999324188396765	True	True	9.602113723754883	9.986627578735352
s00011-p1	s00011	1	coding	knows	False	True	0.999999275372639	False	False	16.893821716308594	14.13760757446289
s00011-p1	s00011	1	coding	believes	True	True	0.9999965367822237	True	True	12.573308944702148	13.766420364379883
s00011-p1	s00011	1	coding	true	False	True	0.9824511561951492	False	False	4.025062561035156	4.632101058959961
s00011-p1	s00011	1	coding	justified	False	True	0.9999970797747771	False	False	14.229900360107422	12.743846893310547
s00011-p1	s00011	1	coding	lucky_guessed	True	True	0.9999871872208709	True	True	11.265054702758789	11.343320846557617
s00011-p2	s00011	2	coding	knows	False	True	0.9999661432656964	False	False	13.139022827148438	10.293338775634766
s00011-p2	s00011	2	coding	believes	True	True	0.9998983029818708	True	True	9.193410873413086	9.683612823486328
s00011-p2	s00011	2	coding	true	False	True	0.9999919521595712	False	False	11.730098724365234	12.149776458740234
s00011-p2	s00011	2	coding	justified	False	True	0.9999991343245862	False	False	15.712783813476562	13.959754943847656
s00011-p2	s00011	2	coding	lucky_guessed	True	True	0.9965941148874126	True	True	5.678838729858398	6.120599746704102
s00012-p0	s00012	0	coding	knows	False	True	0.9999999999558344	False	False	25.24310302734375	23.843074798583984
s00012-p0	s00012	0	coding	believes	True	True	0.9999977718009054	True	True	13.014314651489258	17.220378875732422
s00012-p0	s00012	0	coding	true	False	True	0.9999999948610948	False	False	19.08642578125	20.782581329345703
s00012-p0	s00012	0	coding	justified	False	True	0.9999999999932214	False	False	25.717254638671875	25.73804473876953
s00012-p0	s00012	0	coding	lucky_guessed	True	True	0.9995001498781886	True	True	9.601070404052734	7.600702285766602
s00012-p1	s00012	1	coding	knows	True	True	0.9962392840717339	True	True	5.579378128051758	8.641002655029297
s00012-p1	s00012	1	coding	believes	True	True	0.9999999997729565	True	True	22.20587921142578	26.004837036132812
s00012-p1	s00012	1	coding	true	True	True	0.9998093674061098	True	True	8.564971923828125	9.351318359375
s00012-p1	s00012	1	coding	justified	True	True	0.9999969171218799	True	True	12.689643859863281	15.572616577148438
s00012-p1	s00012	1	coding	lucky_guessed	False	True	0.9997968013828423	False	False	8.608409881591797	8.501123428344727
s00012-p2	s00012	2	coding	knows	False	True	0.9999998291150923	False	False	15.582275390625	16.705833435058594
s00012-p2	s00012	2	coding	believes	True	True	0.9999998997979833	True	True	16.116077423095703	17.61907958984375
s00012-p2	s00012	2	coding	true	False	True	0.9999999945857175	False	False	20.28925323486328	19.034225463867188
s00012-p2	s00012	2	coding	justified	False	True	0.999999999986808	False	False	25.363845825195312	25.051414489746094
s00012-p2	s00012	2	coding	lucky_guessed	True	True	0.9999936097424759	True	True	11.960729598999023	12.648719787597656
s00013-p0	s00013	0	coding	knows	False	True	0.9999999999806111	False	False	24.904064178466797	24.66632080078125
s00013-p0	s00013	0	coding	believes	True	True	0.9999909243733992	True	True	11.609909057617188	14.14643669128418
s00013-p0	s00013	0	coding	true	False	True	0.9999999998297595	False	False	22.49380874633789	24.99683380126953
s00013-p0	s00013	0	coding	justified	False	True	0.9999999999984526	False	False	27.283798217773438	27.19445037841797
s00013-p0	s00013	0	coding	lucky_guessed	True	True	0.9996720488492432	True	True	8.924636840820312	8.022317886352539
s00013-p1	s00013	1	coding	knows	False	True	0.9995577497072993	False	False	8.638204574584961	7.72319221496582
s00013-p1	s00013	1	coding	believes	True	True	0.9999999131931845	True	True	16.259580612182617	19.308094024658203
s00013-p1	s00013	1	coding	true	False	True	0.9992515278070213	False	False	7.196727752685547	9.443946838378906
s00013-p1	s00013	1	coding	justified	False	True	0.9973403385504286	False	False	7.920553207397461	5.92689323425293
s00013-p1	s00013	1	coding	lucky_guessed		False	0.6231681749403345	True	False	0.5030174255371094	1.5662727355957031
s00013-p2	s00013	2	coding	knows	False	True	0.9999999930052283	False	False	18.77810287475586	18.989421844482422
s00013-p2	s00013	2	coding	believes	True	True	0.9999920159605217	True	True	11.738058090209961	13.471183776855469
s00013-p2	s00013	2	coding	true	False	True	0.9999999998537125	False	False	22.64544677734375	22.64966583251953
s00013-p2	s00013	2	coding	justified	False	True	0.999999999995621	False	False	27.07288360595703	26.154190063476562
s00013-p2	s00013	2	coding	lucky_guessed	True	True	0.9999062617014001	True	True	9.274909973144531	10.827705383300781
s00014-p0	s00014	0	coding	knows	False	True	0.9999999677696929	False	False	19.981361389160156	17.25035858154297
s00014-p0	s00014	0	coding	believes	True	True	0.9999920628924855	True	True	11.743953704833984	15.11644172668457
s00014-p0	s00014	0	coding	true	False	True	0.9999382314682999	False	False	9.692054748535156	10.362796783447266
s00014-p0	s00014	0	coding	justified	False	True	0.9999999726272872	False	False	19.06915283203125	17.413719177246094
s00014-p0	s00014	0	coding	lucky_guessed	True	True	0.9999963438087212	True	True	12.519084930419922	14.087879180908203
s00014-p1	s00014	1	coding	knows	False	True	0.9999999942495272	False	False	21.928123474121094	18.973983764648438
s00014-p1	s00014	1	coding	believes	True	True	0.9995549296880997	True	True	7.716833114624023	9.309001922607422
s00014-p1	s00014	1	coding	true	False	True	0.9994143741031268	False	False	7.442243576049805	8.901748657226562
s00014-p1	s00014	1	coding	justified	False	True	0.9999972079683657	False	False	14.059505462646484	12.788738250732422
s00014-p1	s00014	1	coding	lucky_guessed	True	True	0.999952329809262	True	True	9.951156616210938	11.566680908203125
s00014-p2	s00014	2	coding	knows	False	True	0.9999990667449122	False	False	16.035308837890625	13.884586334228516
s00014-p2	s00014	2	coding	believes	True	True	0.999999263204346	True	True	14.120954513549805	17.43065643310547
s00014-p2	s00014	2	coding	true	False	True	0.9999973312980883	False	False	12.833915710449219	13.13888168334961
s00014-p2	s00014	2	coding	justified	False	True	0.9999868143238503	False	False	11.89105224609375	11.236366271972656
s00014-p2	s00014	2	coding	lucky_guessed	True	True	0.9557471923375448	True	True	3.787281036376953	3.0725746154785156
s00015-p0	s00015	0	coding	knows	False	True	0.9999999955243624	False	False	21.555599212646484	19.22461700439453
s00015-p0	s00015	0	coding	believes	True	True	0.9999986215306275	True	True	13.494535446166992	17.46569061279297
s00015-p0	s00015	0	coding	true	False	True	0.9999514867102477	False	False	9.933624267578125	12.124126434326172
s00015-p0	s00015	0	coding	justified	False	True	0.9999999885074038	False	False	19.394947052001953	18.28156280517578
s00015-p0	s00015	0	coding	lucky_guessed	True	True	0.9999985250143313	True	True	13.426860809326172	15.242603302001953
s00015-p1	s00015	1	coding	knows	False	True	0.9999999991487502	False	False	22.949535369873047	20.884315490722656
s00015-p1	s00015	1	coding	believes	True	True	0.9989363432626015	True	True	6.844978332519531	7.123933792114258
s00015-p1	s00015	1	coding	true	False	True	0.9999782636663891	False	False	10.736503601074219	13.226692199707031
s00015-p1	s00015	1	coding	justified	False	True	0.9999998692635704	False	False	17.23504638671875	15.850082397460938
s00015-p1	s00015	1	coding	lucky_guessed	True	True	0.9999899486487315	True	True	11.507793426513672	13.637702941894531
s00015-p2	s00015	2	coding	knows	False	True	0.9999999590790395	False	False	18.229339599609375	17.01162338256836
s00015-p2	s00015	2	coding	believes	True	True	0.9999879809795017	True	True	11.329008102416992	13.216508865356445
s00015-p2	s00015	2	coding	true	False	True	0.9999995971575942	False	False	14.724720001220703	16.025997161865234
s00015-p2	s00015	2	coding	justified	False	True	0.999999848040221	False	False	15.863037109375	15.699649810791016
s00015-p2	s00015	2	coding	lucky_guessed	True	True	0.9980481842706451	True	True	6.237041473388672	7.338884353637695
s00016-p0	s00016	0	coding	knows	False	True	0.9999999983806322	False	False	22.645694732666016	20.241230010986328
s00016-p0	s00016	0	coding	believes	True	True	0.999996723522612	True	True	13.064802169799805	12.628738403320312
s00016-p0	s00016	0	coding	true	False	True	0.9999511043693107	False	False	9.976486206054688	9.925773620605469
s00016-p0	s00016	0	coding	justified	False	True	0.999835066712137	False	False	9.111621856689453	8.70980453491211
s00016-p0	s00016	0	coding	lucky_guessed	True	True	0.9322786671217194	True	True	2.670581817626953	2.6222305297851562
s00016-p1	s00016	1	coding	knows	False	True	0.999999994283908	False	False	21.708560943603516	18.97998046875
s00016-p1	s00016	1	coding	believes	True	True	0.9999995853842831	True	True	14.695913314819336	17.147377014160156
s00016-p1	s00016	1	coding	true	False	True	0.998532641992993	False	False	6.522823333740234	6.524871826171875
s00016-p1	s00016	1	coding	justified	False	True	0.9895586687819629	False	False	4.551486968994141	4.852558135986328
s00016-p1	s00016	1	coding	lucky_guessed	True	True	0.9912771772995119	True	True	4.733051300048828	5.219669342041016
s00016-p2	s00016	2	coding	knows	False	True	0.9999999893959521	False	False	20.451576232910156	18.362030029296875
s00016-p2	s00016	2	coding	believes	True	True	0.9999994250489802	True	True	14.368980407714844	15.046831130981445
s00016-p2	s00016	2	coding	true	False	True	0.9999557567928716	False	False	10.36252212524414	10.025764465332031
s00016-p2	s00016	2	coding	justified	False	True	0.9999911567991253	False	False	11.97686767578125	11.635852813720703
s00016-p2	s00016	2	coding	lucky_guessed	False	True	0.9500080605708343	False	False	2.944608688354492	4.331087112426758
s00017-p0	s00017	0	coding	knows	False	True	0.9999999972602855	False	False	22.49097442626953	19.715412139892578
s00017-p0	s00017	0	coding	believes	True	True	0.9999972802973267	True	True	12.814985275268555	14.19455337524414
s00017-p0	s00017	0	coding	true	False	True	0.9999752276746111	False	False	11.202011108398438	10.605758666992188
s00017-p0	s00017	0	coding	justified	False	True	0.9999865238133608	False	False	11.686691284179688	11.21457290649414
